fecha,producto,categoria,precio,cantidad
2025-10-01,Café, Bebidas,800,45
2025-10-01,Medialuna, Panadería,500,30
2025-10-01,Sándwich de Jamón, Comidas,2500,20
2025-10-02,Café, Bebidas,800,55
2025-10-02,Medialuna, Panadería,500,25
2025-10-02,Sándwich de Jamón, Comidas,2500,18
2025-10-03,Café, Bebidas,800,60
2025-10-03,Medialuna, Panadería,500,28
2025-10-03,Sándwich de Jamón, Comidas,2500,25
2025-10-04,Café, Bebidas,800,70
2025-10-04,Medialuna, Panadería,500,35
2025-10-04,Sándwich de Jamón, Comidas,2500,30
